date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:52	34720/34720	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:52%20GMT	https://matematika.cz/upravy-rovnic	~home/websites/mara/matice2/matematika.cz/upravy-rovnic.html	(from https://matematika.cz/matice)
12:15:54	38697/38697	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:53%20GMT	https://matematika.cz/linearni-rovnice	~home/websites/mara/matice2/matematika.cz/linearni-rovnice.html	(from https://matematika.cz/matice)
12:15:54	32846/32846	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:54%20GMT	https://matematika.cz/kvadraticke-rovnice	~home/websites/mara/matice2/matematika.cz/kvadraticke-rovnice.html	(from https://matematika.cz/matice)
12:15:55	23522/23522	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:55%20GMT	https://matematika.cz/binomicke-rovnice	~home/websites/mara/matice2/matematika.cz/binomicke-rovnice.html	(from https://matematika.cz/matice)
12:15:56	35631/35631	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:56%20GMT	https://matematika.cz/linearni-nerovnice	~home/websites/mara/matice2/matematika.cz/linearni-nerovnice.html	(from https://matematika.cz/matice)
12:15:57	33124/33124	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:57%20GMT	https://matematika.cz/kvadraticke-nerovnice	~home/websites/mara/matice2/matematika.cz/kvadraticke-nerovnice.html	(from https://matematika.cz/matice)
12:15:58	29421/29421	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:58%20GMT	https://matematika.cz/exponencialni-rovnice	~home/websites/mara/matice2/matematika.cz/exponencialni-rovnice.html	(from https://matematika.cz/matice)
12:16:00	36693/36693	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:15:59%20GMT	https://matematika.cz/goniometricke-rovnice	~home/websites/mara/matice2/matematika.cz/goniometricke-rovnice.html	(from https://matematika.cz/matice)
12:16:01	34092/34092	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:00%20GMT	https://matematika.cz/soustavy-rovnic	~home/websites/mara/matice2/matematika.cz/soustavy-rovnic.html	(from https://matematika.cz/matice)
12:16:01	21445/21445	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:01%20GMT	https://matematika.cz/kategorie-cisla	~home/websites/mara/matice2/matematika.cz/kategorie-cisla.html	(from https://matematika.cz/matice)
12:16:02	23261/23261	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:02%20GMT	https://matematika.cz/prirozena-cisla	~home/websites/mara/matice2/matematika.cz/prirozena-cisla.html	(from https://matematika.cz/matice)
12:16:03	25674/25674	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:03%20GMT	https://matematika.cz/cela-cisla	~home/websites/mara/matice2/matematika.cz/cela-cisla.html	(from https://matematika.cz/matice)
12:16:04	29266/29266	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:04%20GMT	https://matematika.cz/racionalni-cisla	~home/websites/mara/matice2/matematika.cz/racionalni-cisla.html	(from https://matematika.cz/matice)
12:16:05	20761/20761	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:05%20GMT	https://matematika.cz/iracionalni-cisla	~home/websites/mara/matice2/matematika.cz/iracionalni-cisla.html	(from https://matematika.cz/matice)
12:16:06	21965/21965	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:06%20GMT	https://matematika.cz/realna-cisla	~home/websites/mara/matice2/matematika.cz/realna-cisla.html	(from https://matematika.cz/matice)
12:16:07	30738/30738	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:07%20GMT	https://matematika.cz/komplexni-cisla	~home/websites/mara/matice2/matematika.cz/komplexni-cisla.html	(from https://matematika.cz/matice)
12:16:08	25885/25885	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:08%20GMT	https://matematika.cz/prvocisla	~home/websites/mara/matice2/matematika.cz/prvocisla.html	(from https://matematika.cz/matice)
12:16:09	27762/27762	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:09%20GMT	https://matematika.cz/prevod	~home/websites/mara/matice2/matematika.cz/prevod.html	(from https://matematika.cz/matice)
12:16:10	35929/35929	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:10%20GMT	https://matematika.cz/mnoziny	~home/websites/mara/matice2/matematika.cz/mnoziny.html	(from https://matematika.cz/matice)
12:16:11	23874/23874	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:11%20GMT	https://matematika.cz/uroky	~home/websites/mara/matice2/matematika.cz/uroky.html	(from https://matematika.cz/matice)
12:16:12	26362/26362	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:12%20GMT	https://matematika.cz/interval	~home/websites/mara/matice2/matematika.cz/interval.html	(from https://matematika.cz/matice)
12:16:13	23616/23616	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:13%20GMT	https://matematika.cz/nekonecno	~home/websites/mara/matice2/matematika.cz/nekonecno.html	(from https://matematika.cz/matice)
12:16:14	23875/23875	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:14%20GMT	https://matematika.cz/doplneni-ctverec	~home/websites/mara/matice2/matematika.cz/doplneni-ctverec.html	(from https://matematika.cz/matice)
12:16:15	20776/20776	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:15%20GMT	https://matematika.cz/kategorie-geometrie	~home/websites/mara/matice2/matematika.cz/kategorie-geometrie.html	(from https://matematika.cz/matice)
12:16:16	21213/21213	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:16%20GMT	https://matematika.cz/geometrie	~home/websites/mara/matice2/matematika.cz/geometrie.html	(from https://matematika.cz/matice)
12:16:17	25509/25509	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:17%20GMT	https://matematika.cz/primka	~home/websites/mara/matice2/matematika.cz/primka.html	(from https://matematika.cz/matice)
12:16:18	28317/28317	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:18%20GMT	https://matematika.cz/uhel	~home/websites/mara/matice2/matematika.cz/uhel.html	(from https://matematika.cz/matice)
12:16:19	27097/27097	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:19%20GMT	https://matematika.cz/ctverec	~home/websites/mara/matice2/matematika.cz/ctverec.html	(from https://matematika.cz/matice)
12:16:20	23911/23911	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:20%20GMT	https://matematika.cz/obdelnik	~home/websites/mara/matice2/matematika.cz/obdelnik.html	(from https://matematika.cz/matice)
12:16:21	36003/36003	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:21%20GMT	https://matematika.cz/objemy-obsahy	~home/websites/mara/matice2/matematika.cz/objemy-obsahy.html	(from https://matematika.cz/matice)
12:16:22	29396/29396	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:22%20GMT	https://matematika.cz/trojuhelnik	~home/websites/mara/matice2/matematika.cz/trojuhelnik.html	(from https://matematika.cz/matice)
12:16:23	28678/28678	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:23%20GMT	https://matematika.cz/kruznice	~home/websites/mara/matice2/matematika.cz/kruznice.html	(from https://matematika.cz/matice)
12:16:24	21591/21591	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:24%20GMT	https://matematika.cz/kuzelosecky	~home/websites/mara/matice2/matematika.cz/kuzelosecky.html	(from https://matematika.cz/matice)
12:16:25	23141/23141	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:25%20GMT	https://matematika.cz/euklidovy-vety	~home/websites/mara/matice2/matematika.cz/euklidovy-vety.html	(from https://matematika.cz/matice)
12:16:26	20134/20134	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:26%20GMT	https://matematika.cz/vzorce-geometrie	~home/websites/mara/matice2/matematika.cz/vzorce-geometrie.html	(from https://matematika.cz/matice)
12:16:27	20128/20128	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:27%20GMT	https://matematika.cz/kategorie-kombinatorika	~home/websites/mara/matice2/matematika.cz/kategorie-kombinatorika.html	(from https://matematika.cz/matice)
12:16:28	26037/26037	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:28%20GMT	https://matematika.cz/kombinatorika	~home/websites/mara/matice2/matematika.cz/kombinatorika.html	(from https://matematika.cz/matice)
12:16:29	33055/33055	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:29%20GMT	https://matematika.cz/pravdepodobnost	~home/websites/mara/matice2/matematika.cz/pravdepodobnost.html	(from https://matematika.cz/matice)
12:16:30	25881/25881	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:30%20GMT	https://matematika.cz/tri-dvere	~home/websites/mara/matice2/matematika.cz/tri-dvere.html	(from https://matematika.cz/matice)
12:16:31	28623/28623	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:31%20GMT	https://matematika.cz/bezpecnost-hesla	~home/websites/mara/matice2/matematika.cz/bezpecnost-hesla.html	(from https://matematika.cz/matice)
12:16:32	28926/28926	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:32%20GMT	https://matematika.cz/zaklady-statistiky	~home/websites/mara/matice2/matematika.cz/zaklady-statistiky.html	(from https://matematika.cz/matice)
12:16:33	27636/27636	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:33%20GMT	https://matematika.cz/binomicka-veta	~home/websites/mara/matice2/matematika.cz/binomicka-veta.html	(from https://matematika.cz/matice)
12:16:34	19751/19751	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:34%20GMT	https://matematika.cz/kategorie-analyticka-geometrie	~home/websites/mara/matice2/matematika.cz/kategorie-analyticka-geometrie.html	(from https://matematika.cz/matice)
12:16:36	34940/34940	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:35%20GMT	https://matematika.cz/vektory	~home/websites/mara/matice2/matematika.cz/vektory.html	(from https://matematika.cz/matice)
12:16:37	38541/38541	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:36%20GMT	https://matematika.cz/parametricka-rovnice-primky	~home/websites/mara/matice2/matematika.cz/parametricka-rovnice-primky.html	(from https://matematika.cz/matice)
12:16:38	34771/34771	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:37%20GMT	https://matematika.cz/vzajemna-poloha-primek	~home/websites/mara/matice2/matematika.cz/vzajemna-poloha-primek.html	(from https://matematika.cz/matice)
12:16:38	25890/25890	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:38%20GMT	https://matematika.cz/rovnice-roviny	~home/websites/mara/matice2/matematika.cz/rovnice-roviny.html	(from https://matematika.cz/matice)
12:16:39	26360/26360	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:39%20GMT	https://matematika.cz/vzdalenost-bod-primka	~home/websites/mara/matice2/matematika.cz/vzdalenost-bod-primka.html	(from https://matematika.cz/matice)
12:16:40	19704/19704	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:40%20GMT	https://matematika.cz/kategorie-statistika	~home/websites/mara/matice2/matematika.cz/kategorie-statistika.html	(from https://matematika.cz/matice)
12:16:41	29736/29736	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202019%2011:16:41%20GMT	https://matematika.cz/zakladni-pojmy-statistiky	~home/websites/mara/matice2/matematika.cz/zakladni-pojmy-statistiky.html	(from https://matematika.cz/matice)
